公司代號,公司名稱
2855,2855 統一證
2867,2867 三商壽
2880,2880 華南金
2881,2881 富邦金
2882,2882 國泰金
2883,2883 開發金
2884,2884 玉山金
2885,2885 元大金
2886,2886 兆豐金
2887,2887 台新金
2888,2888 新光金
2889,2889 國票金
2890,2890 永豐金
2891,2891 中信金
2892,2892 第一金
2897,2897 王道銀行
2901,2901 欣欣
2903,2903 遠百
2904,2904 匯僑
2905,2905 三商
2906,2906 高林
2908,2908 特力
2910,2910 統領
2911,2911 麗嬰房
2912,2912 統一超
2913,2913 農林
2915,2915 潤泰全
2923,2923 鼎固-KY
2929,2929 淘帝-KY
2939,2939 凱羿-KY
2945,2945 三商家購
3002,3002 歐格
3003,3003 健和興
3004,3004 豐達科
3005,3005 神基
3006,3006 晶豪科
3008,3008 大立光
3010,3010 華立
3011,3011 今皓
3013,3013 晟銘電
3014,3014 聯陽
3015,3015 全漢
3016,3016 嘉晶
3017,3017 奇鋐
3018,3018 隆銘綠能
3019,3019 亞光
3021,3021 鴻名
3022,3022 威強電
3023,3023 信邦
3024,3024 憶聲
3025,3025 星通
3026,3026 禾伸堂
3027,3027 盛達
3028,3028 增你強
3029,3029 零壹
3030,3030 德律
3031,3031 佰鴻
3032,3032 偉訓
3033,3033 威健
3034,3034 聯詠
3035,3035 智原
3036,3036 文曄
3037,3037 欣興
3038,3038 全台
3040,3040 遠見
3041,3041 揚智
3042,3042 晶技
3043,3043 科風
3044,3044 健鼎
3045,3045 台灣大
3046,3046 建碁
3047,3047 訊舟
3048,3048 益登
3049,3049 精金
3050,3050 鈺德
3051,3051 力特
3052,3052 夆典
3054,3054 立萬利
3055,3055 蔚華科
3056,3056 富華新
3057,3057 喬鼎
3058,3058 立德
3059,3059 華晶科
3060,3060 銘異
3062,3062 建漢
3090,3090 日電貿
3092,3092 鴻碩
3094,3094 聯傑
3130,3130 一零四
3138,3138 耀登
3149,3149 正達
3164,3164 景岳
3167,3167 大量
3189,3189 景碩
3209,3209 全科
3229,3229 晟鈦
3231,3231 緯創
3257,3257 虹冠電
3266,3266 昇陽
3296,3296 勝德
3305,3305 昇貿
3308,3308 聯德
3311,3311 閎暉
3312,3312 弘憶股
3321,3321 同泰
3338,3338 泰碩
3346,3346 麗清
3356,3356 奇偶
3376,3376 新日興
3380,3380 明泰
3406,3406 玉晶光
3413,3413 京鼎
3416,3416 融程電
3419,3419 譁裕
3432,3432 台端
3437,3437 榮創
3443,3443 創意
3447,3447 展達
3450,3450 聯鈞
3454,3454 晶睿
3481,3481 群創
3494,3494 誠研
3501,3501 維熹
3504,3504 揚明光
3515,3515 華擎
3518,3518 柏騰
3528,3528 安馳
3530,3530 晶相光
3532,3532 台勝科
3533,3533 嘉澤
3535,3535 晶彩科
3543,3543 州巧
3545,3545 敦泰
3550,3550 聯穎
3557,3557 嘉威
3563,3563 牧德
3576,3576 聯合再生
3583,3583 辛耘
3588,3588 通嘉
3591,3591 艾笛森
3592,3592 瑞鼎
3593,3593 力銘
3596,3596 智易
3605,3605 宏致
3607,3607 谷崧
3617,3617 碩天
3622,3622 洋華
3645,3645 達邁
3652,3652 精聯
3653,3653 健策
3661,3661 世芯-KY
3665,3665 貿聯-KY
3669,3669 圓展
3673,3673 TPK-KY
3679,3679 新至陞
3682,3682 亞太電
3686,3686 達能
3694,3694 海華
3701,3701 大眾控
3702,3702 大聯大
3703,3703 欣陸
3704,3704 合勤控
3705,3705 永信
3706,3706 神達
3708,3708 上緯投控
3711,3711 日月光投控
3712,3712 永崴投控
3714,3714 富采
3715,3715 定穎投控
4104,4104 佳醫
4106,4106 雃博
4108,4108 懷特
4119,4119 旭富
4133,4133 亞諾法
4137,4137 麗豐-KY
4142,4142 國光生
4148,4148 全宇生技-KY
4155,4155 訊映
4164,4164 承業醫
4190,4190 佐登-KY
4306,4306 炎洲
4414,4414 如興
4426,4426 利勤
4438,4438 廣越
4439,4439 冠星-KY
4440,4440 宜新實業
4526,4526 東台
4532,4532 瑞智
4536,4536 拓凱
4540,4540 全球傳動
4545,4545 銘鈺
4551,4551 智伸科
4552,4552 力達-KY
4555,4555 氣立
4557,4557 永新-KY
4560,4560 強信-KY
4562,4562 穎漢
4564,4564 元翎
4566,4566 時碩工業
4569,4569 六方科-KY
4571,4571 鈞興-KY
4572,4572 駐龍
4576,4576 大銀微系統
4581,4581 光隆精密-KY
4583,4583 台灣精銳
4720,4720 德淵
4722,4722 國精化
4737,4737 華廣
4739,4739 康普
4746,4746 台耀
4755,4755 三福化
4763,4763 材料-KY
4764,4764 雙鍵
4766,4766 南寶
4770,4770 上品
4807,4807 日成-KY
4904,4904 遠傳
4906,4906 正文
4912,4912 聯德控股-KY
4915,4915 致伸
4916,4916 事欣科
4919,4919 新唐
4927,4927 泰鼎-KY
4930,4930 燦星網
4934,4934 太極
4935,4935 茂林-KY
4938,4938 和碩
4942,4942 嘉彰
4943,4943 康控-KY
4952,4952 凌通
4956,4956 光鋐
4958,4958 臻鼎-KY
4960,4960 誠美材
4961,4961 天鈺
4967,4967 十銓
4968,4968 立積
4976,4976 佳凌
4977,4977 眾達-KY
4989,4989 榮科
4994,4994 傳奇
4999,4999 鑫禾
5007,5007 三星
5203,5203 訊連
5215,5215 科嘉-KY
5222,5222 全訊
5225,5225 東科-KY
5234,5234 達興材料
5243,5243 乙盛-KY
5244,5244 弘凱
5258,5258 虹堡
5269,5269 祥碩
5283,5283 禾聯碩
5284,5284 jpp-KY
5285,5285 界霖
5288,5288 豐祥-KY
5292,5292 華懋
5306,5306 桂盟
5388,5388 中磊
5434,5434 崇越
5469,5469 瀚宇博
5471,5471 松翰
5484,5484 慧友
5515,5515 建國
5519,5519 隆大
5521,5521 工信
5522,5522 遠雄
5525,5525 順天
5531,5531 鄉林
5533,5533 皇鼎
5534,5534 長虹
5538,5538 東明-KY
5546,5546 永固-KY
5607,5607 遠雄港
5608,5608 四維航
5706,5706 鳳凰
5871,5871 中租-KY
5876,5876 上海商銀
5880,5880 合庫金
5906,5906 台南-KY
5907,5907 大洋-KY
6005,6005 群益證
6024,6024 群益期
6108,6108 競國
6112,6112 邁達特
6115,6115 鎰勝
6116,6116 彩晶
6117,6117 迎廣
6120,6120 達運
6128,6128 上福
6133,6133 金橋
6136,6136 富爾特
6139,6139 亞翔
6141,6141 柏承
6142,6142 友勁
6152,6152 百一
6153,6153 嘉聯益
6155,6155 鈞寶
6164,6164 華興
6165,6165 浪凡
6166,6166 凌華
6168,6168 宏齊
6176,6176 瑞儀
6177,6177 達麗
6183,6183 關貿
6184,6184 大豐電
6189,6189 豐藝
6191,6191 精成科
6192,6192 巨路
6196,6196 帆宣
6197,6197 佳必琪
6201,6201 亞弘電
6202,6202 盛群
6205,6205 詮欣
6206,6206 飛捷
6209,6209 今國光
6213,6213 聯茂
6214,6214 精誠
6215,6215 和椿
6216,6216 居易
6224,6224 聚鼎
6225,6225 天瀚
6226,6226 光鼎
6230,6230 尼得科超眾
6235,6235 華孚
6239,6239 力成
6243,6243 迅杰
6257,6257 矽格
6269,6269 台郡
6271,6271 同欣電
6277,6277 宏正
6278,6278 台表科
6281,6281 全國電
6282,6282 康舒
6283,6283 淳安
6285,6285 啟碁
6288,6288 聯嘉
6405,6405 悅城
6409,6409 旭隼
6412,6412 群電
6414,6414 樺漢
6415,6415 矽力*-KY
6416,6416 瑞祺電通
6426,6426 統新
6431,6431 光麗-KY
6438,6438 迅得
6442,6442 光聖
6443,6443 元晶
6449,6449 鈺邦
6451,6451 訊芯-KY
6456,6456 GIS-KY
6464,6464 台數科
6477,6477 安集
6491,6491 晶碩
6504,6504 南六
6505,6505 台塑化
6515,6515 穎崴
6525,6525 捷敏-KY
6526,6526 達發
6531,6531 愛普*
6533,6533 晶心科
6541,6541 泰福-KY
6550,6550 北極星藥業-KY
6552,6552 易華電
6558,6558 興能高
6573,6573 虹揚-KY
6579,6579 研揚
6581,6581 鋼聯
6582,6582 申豐
6585,6585 鼎基
6591,6591 動力-KY
6592,6592 和潤企業
6598,6598 ABC-KY
6605,6605 帝寶
6606,6606 建德工業
6625,6625 必應
6641,6641 基士德-KY
6655,6655 科定
6657,6657 華安
6658,6658 聯策
6666,6666 羅麗芬-KY
6668,6668 中揚光
6669,6669 緯穎
6670,6670 復盛應用
6671,6671 三能-KY
6672,6672 騰輝電子-KY
6674,6674 鋐寶科技
6689,6689 伊雲谷
6691,6691 洋基工程
6695,6695 芯鼎
6698,6698 旭暉應材
6706,6706 惠特
6715,6715 嘉基
6719,6719 力智
6742,6742 澤米
6743,6743 安普新
6753,6753 龍德造船
6754,6754 匯僑設計
6756,6756 威鋒電子
6757,6757 台灣虎航-創
6768,6768 志強-KY
6770,6770 力積電
6776,6776 展碁國際
6781,6781 AES-KY
6782,6782 視陽
6789,6789 采鈺
6790,6790 永豐實
6792,6792 詠業
6796,6796 晉弘
6799,6799 來頡
6805,6805 富世達
6806,6806 森崴能源
6807,6807 峰源-KY
6830,6830 汎銓
6834,6834 天二科技
6835,6835 圓裕
6854,6854 錼創科技-KY創
6861,6861 睿生光電
6863,6863 永道-KY
6869,6869 雲豹能源-創
6873,6873 泓德能源-創
6901,6901 鑽石投資
6902,6902 走著瞧-創
6916,6916 華凌
6933,6933 AMAX-KY
6937,6937 天虹
8011,8011 台通
8016,8016 矽創
8021,8021 尖點
8028,8028 昇陽半導體
8033,8033 雷虎
8039,8039 台虹
8046,8046 南電
8070,8070 長華*
8072,8072 陞泰
8081,8081 致新
8101,8101 華冠
8103,8103 瀚荃
8104,8104 錸寶
8105,8105 凌巨
8110,8110 華東
8112,8112 至上
8114,8114 振樺電
8131,8131 福懋科
8150,8150 南茂
8163,8163 達方
8201,8201 無敵
8210,8210 勤誠
8213,8213 志超
8215,8215 明基材
8222,8222 寶一
8249,8249 菱光
8261,8261 富鼎
8271,8271 宇瞻
8341,8341 日友
8367,8367 建新國際
8374,8374 羅昇
8404,8404 百和興業-KY
8411,8411 福貞-KY
8422,8422 可寧衛
8429,8429 金麗-KY
8438,8438 昶昕
8442,8442 威宏-KY
8443,8443 阿瘦
8454,8454 富邦媒
8462,8462 柏文
8463,8463 潤泰材
8464,8464 億豐
8466,8466 美吉吉-KY
8467,8467 波力-KY
8473,8473 山林水
8476,8476 台境
8478,8478 東哥遊艇
8481,8481 政伸
8482,8482 商億-KY
8488,8488 吉源-KY
8499,8499 鼎炫-KY
8926,8926 台汽電
8940,8940 新天地
8996,8996 高力
9103,9103 美德醫療-DR
910322,910322 康師傅-DR
9105,9105 泰金寶-DR
910861,910861 神州-DR
9110,9110 越南控-DR
911608,911608 明輝-DR
911622,911622 泰聚亨-DR
911868,911868 同方友友-DR
912000,912000 晨訊科-DR
9136,9136 巨騰-DR
9802,9802 鈺齊-KY
9902,9902 台火
9904,9904 寶成
9905,9905 大華
9906,9906 欣巴巴
9907,9907 統一實
9908,9908 大台北
9910,9910 豐泰
9911,9911 櫻花
9912,9912 偉聯
9914,9914 美利達
9917,9917 中保科
9918,9918 欣天然
9919,9919 康那香
9921,9921 巨大
9924,9924 福興
9925,9925 新保
9926,9926 新海
9927,9927 泰銘
9928,9928 中視
9929,9929 秋雨
9930,9930 中聯資源
9931,9931 欣高
9933,9933 中鼎
9934,9934 成霖
9935,9935 慶豐富
9937,9937 全國
9938,9938 百和
9939,9939 宏全
9940,9940 信義
9941,9941 裕融
9942,9942 茂順
9943,9943 好樂迪
9944,9944 新麗
9945,9945 潤泰新
9946,9946 三發地產
9955,9955 佳龍
9958,9958 世紀鋼
公司代號,公司代號 公司簡稱
1240,1240 茂生農經
1259,1259 安心
1264,1264 德麥
1268,1268 漢來美食
1336,1336 台翰
1565,1565 精華
1569,1569 濱川
1570,1570 力肯
1580,1580 新麥
1584,1584 精剛
1586,1586 和勤
1591,1591 駿吉-KY
1593,1593 祺驊
1595,1595 川寶
1599,1599 宏佳騰
1742,1742 台蠟
1777,1777 生泰
1781,1781 合世
1784,1784 訊聯
1785,1785 光洋科
1788,1788 杏昌
1796,1796 金穎生技
1799,1799 易威
1813,1813 寶利徠
1815,1815 富喬
2035,2035 唐榮公司
2061,2061 風青
2063,2063 世鎧
2064,2064 晉椿
2065,2065 世豐
2066,2066 世德
2067,2067 嘉鋼
2070,2070 精湛
2073,2073 雄順
2221,2221 大甲
2230,2230 泰茂
2235,2235 謚源
2596,2596 綠意
2640,2640 大車隊
2641,2641 正德
2643,2643 捷迅
2718,2718 晶悅
2719,2719 燦星旅
2724,2724 藝舍-KY
2726,2726 雅茗-KY
2729,2729 瓦城
2732,2732 六角
2734,2734 易飛網
2736,2736 富野
2740,2740 天蔥
2743,2743 山富
2745,2745 五福
2752,2752 豆府
2754,2754 亞洲藏壽司
2755,2755 揚秦
2756,2756 聯發國際
2916,2916 滿心
2924,2924 宏太-KY
2926,2926 誠品生活
2937,2937 集雅社
2947,2947 振宇五金
2948,2948 寶陞
3064,3064 泰偉
3066,3066 李洲
3067,3067 全域
3071,3071 協禧
3073,3073 天方能源
3078,3078 僑威
3081,3081 聯亞
3083,3083 網龍
3085,3085 新零售
3086,3086 華義
3088,3088 艾訊
3089,3089 億杰
3093,3093 港建*
3095,3095 及成
3105,3105 穩懋
3114,3114 好德
3115,3115 富榮綱
3118,3118 進階
3122,3122 笙泉
3128,3128 昇銳
3131,3131 弘塑
3141,3141 晶宏
3147,3147 大綜
3152,3152 璟德
3162,3162 精確
3163,3163 波若威
3169,3169 亞信
3171,3171 新洲
3176,3176 基亞
3178,3178 公準
3188,3188 鑫龍騰
3191,3191 雲嘉南科技
3202,3202 樺晟
3205,3205 佰研
3206,3206 志豐
3207,3207 耀勝
3211,3211 順達
3213,3213 茂訊
3217,3217 優群
3218,3218 大學光
3219,3219 倚強科
3221,3221 台嘉碩
3224,3224 三顧
3226,3226 至寶電
3227,3227 原相
3228,3228 金麗科
3230,3230 錦明
3232,3232 昱捷
3234,3234 光環
3236,3236 千如
3252,3252 海灣
3259,3259 鑫創
3260,3260 威剛
3264,3264 欣銓
3265,3265 台星科
3268,3268 海德威
3272,3272 東碩
3276,3276 宇環
3284,3284 太普高
3285,3285 微端
3287,3287 廣寰科
3288,3288 點晶
3289,3289 宜特
3290,3290 東浦
3293,3293 鈊象
3294,3294 英濟
3297,3297 杭特
3303,3303 岱稜
3306,3306 鼎天
3310,3310 佳穎
3313,3313 斐成
3317,3317 尼克森
3322,3322 建舜電
3323,3323 加百裕
3324,3324 雙鴻
3325,3325 旭品
3332,3332 幸康
3339,3339 泰谷
3349,3349 寶德
3354,3354 律勝
3357,3357 臺慶科
3360,3360 尚立
3362,3362 先進光
3363,3363 上詮
3372,3372 典範
3373,3373 熱映
3374,3374 精材
3379,3379 彬台
3388,3388 崇越電
3390,3390 旭軟
3402,3402 漢科
3426,3426 台興
3430,3430 奇鈦科
3434,3434 哲固
3438,3438 類比科
3441,3441 聯一光電
3444,3444 利機
3455,3455 由田
3465,3465 進泰電子
3466,3466 德晉
3479,3479 安勤
3483,3483 力致
3484,3484 崧騰
3489,3489 森寶
3490,3490 單井
3491,3491 昇達科
3492,3492 長盛
3498,3498 陽程
3499,3499 環天科
3508,3508 位速
3511,3511 矽瑪
3512,3512 皇龍
3516,3516 亞帝歐
3520,3520 華盈
3521,3521 鴻翊
3522,3522 御頂
3523,3523 迎輝
3526,3526 凡甲
3527,3527 聚積
3529,3529 力旺
3531,3531 先益
3537,3537 堡達
3540,3540 曜越
3541,3541 西柏
3546,3546 宇峻
3548,3548 兆利
3551,3551 世禾
3552,3552 同致
3555,3555 博士旺
3556,3556 禾瑞亞
3558,3558 神準
3564,3564 其陽
3567,3567 逸昌
3570,3570 大塚
3577,3577 泓格
3580,3580 友威科
3581,3581 博磊
3587,3587 閎康
3594,3594 磐儀
3597,3597 映興
3609,3609 三一東林
3611,3611 鼎翰
3615,3615 安可
3623,3623 富晶通
3624,3624 光頡
3625,3625 西勝
3628,3628 盈正
3629,3629 地心引力
3630,3630 新鉅科
3631,3631 晟楠
3632,3632 研勤
3646,3646 艾恩特
3663,3663 鑫科
3664,3664 安瑞-KY
3666,3666 光耀
3672,3672 康聯訊
3675,3675 德微
3680,3680 家登
3684,3684 榮昌
3685,3685 元創精密
3687,3687 歐買尬
3689,3689 湧德
3691,3691 碩禾
3693,3693 營邦
3707,3707 漢磊
3709,3709 鑫聯大投控
3710,3710 連展投控
3713,3713 新晶投控
4102,4102 永日
4105,4105 東洋
4107,4107 邦特
4109,4109 加捷生醫
4111,4111 濟生
4113,4113 聯上
4114,4114 健喬
4116,4116 明基醫
4120,4120 友華
4121,4121 優盛
4123,4123 晟德
4126,4126 太醫
4127,4127 天良
4128,4128 中天
4129,4129 聯合
4130,4130 健亞
4131,4131 浩泰
4138,4138 曜亞
4139,4139 馬光-KY
4147,4147 中裕
4153,4153 鈺緯
4154,4154 樂威科-KY
4157,4157 太景*-KY
4160,4160 訊聯基因
4161,4161 聿新科
4162,4162 智擎
4163,4163 鐿鈦
4167,4167 松瑞藥
4168,4168 醣聯
4171,4171 瑞基
4173,4173 久裕
4174,4174 浩鼎
4175,4175 杏一
4183,4183 福永生技
4188,4188 安克
4192,4192 杏國
4198,4198 欣大健康
4205,4205 中華食
4207,4207 環泰
4303,4303 信立
4304,4304 勝昱
4305,4305 世坤
4401,4401 東隆興
4402,4402 福大
4406,4406 新昕纖
4413,4413 飛寶企業
4416,4416 三圓
4417,4417 金洲
4419,4419 元勝
4420,4420 光明
4430,4430 耀億
4432,4432 銘旺實
4433,4433 興采
4442,4442 竣邦-KY
4502,4502 健信
4503,4503 金雨
4506,4506 崇友
4510,4510 高鋒
4513,4513 福裕
4523,4523 永彰
4527,4527 方方土霖
4528,4528 江興鍛
4529,4529 淳紳
4530,4530 宏易
4533,4533 協易機
4534,4534 慶騰
4535,4535 至興
4538,4538 大詠城
4541,4541 晟田
4542,4542 科嶠
4543,4543 萬在
